,dataset,model,algorithm,fold,metric,value
0,HLM,ECFP4,linear,0,MAE,0.8914010779504364
1,HLM,ECFP4,linear,0,RMSE,1.1376037489844164
2,HLM,ECFP4,linear,0,R2,-2.818891147004935
3,HLM,ECFP4,linear,1,MAE,1.1260285037313957
4,HLM,ECFP4,linear,1,RMSE,1.404339806525069
5,HLM,ECFP4,linear,1,R2,-6.180969598187079
6,HLM,ECFP4,linear,2,MAE,0.9609990427198452
7,HLM,ECFP4,linear,2,RMSE,1.2496340520209464
8,HLM,ECFP4,linear,2,R2,-5.347069312339626
9,HLM,ECFP4,linear,3,MAE,1.0115812094830268
10,HLM,ECFP4,linear,3,RMSE,1.269668094471295
11,HLM,ECFP4,linear,3,R2,-5.021515179194427
12,HLM,ECFP4,linear,4,MAE,0.9718640128929567
13,HLM,ECFP4,linear,4,RMSE,1.1918705794908089
14,HLM,ECFP4,linear,4,R2,-3.5148604373105785
15,HLM,ECFP4,svm,0,MAE,0.44119023255763884
16,HLM,ECFP4,svm,0,RMSE,0.5284416905736268
17,HLM,ECFP4,svm,0,R2,0.17595790641970854
18,HLM,ECFP4,svm,1,MAE,0.41615103241207696
19,HLM,ECFP4,svm,1,RMSE,0.4983388092927017
20,HLM,ECFP4,svm,1,R2,0.09575087763987056
21,HLM,ECFP4,svm,2,MAE,0.37961808254624285
22,HLM,ECFP4,svm,2,RMSE,0.45782782420562884
23,HLM,ECFP4,svm,2,R2,0.14805431982052275
24,HLM,ECFP4,svm,3,MAE,0.39323887564322146
25,HLM,ECFP4,svm,3,RMSE,0.49013575926816383
26,HLM,ECFP4,svm,3,R2,0.1026576792579309
27,HLM,ECFP4,svm,4,MAE,0.41771342311341797
28,HLM,ECFP4,svm,4,RMSE,0.5039276683860545
29,HLM,ECFP4,svm,4,R2,0.19290893574007462
30,HLM,ECFP4,random-forest,0,MAE,0.45737063492247987
31,HLM,ECFP4,random-forest,0,RMSE,0.549551130043921
32,HLM,ECFP4,random-forest,0,R2,0.10880762761556673
33,HLM,ECFP4,random-forest,1,MAE,0.4324337807110622
34,HLM,ECFP4,random-forest,1,RMSE,0.5083401141701838
35,HLM,ECFP4,random-forest,1,R2,0.05909139615368564
36,HLM,ECFP4,random-forest,2,MAE,0.3991662381355754
37,HLM,ECFP4,random-forest,2,RMSE,0.4798814620854652
38,HLM,ECFP4,random-forest,2,R2,0.06400078250883756
39,HLM,ECFP4,random-forest,3,MAE,0.4131817997650809
40,HLM,ECFP4,random-forest,3,RMSE,0.5022500662066858
41,HLM,ECFP4,random-forest,3,R2,0.057751666186708905
42,HLM,ECFP4,random-forest,4,MAE,0.4446091981301183
43,HLM,ECFP4,random-forest,4,RMSE,0.5327553344788816
44,HLM,ECFP4,random-forest,4,R2,0.09792687413592638
45,HLM,MolFormer,linear,0,MAE,0.5647131234098883
46,HLM,MolFormer,linear,0,RMSE,0.6932707737437867
47,HLM,MolFormer,linear,0,R2,-0.41827691584944926
48,HLM,MolFormer,linear,1,MAE,0.5184205702521509
49,HLM,MolFormer,linear,1,RMSE,0.6424415469180931
50,HLM,MolFormer,linear,1,R2,-0.5028163586910899
51,HLM,MolFormer,linear,2,MAE,0.5185806307703547
52,HLM,MolFormer,linear,2,RMSE,0.6338790747886692
53,HLM,MolFormer,linear,2,R2,-0.6331285443834338
54,HLM,MolFormer,linear,3,MAE,0.5038591693297052
