,dataset,model,algorithm,fold,metric,value
0,HLM,ECFP4,linear,0,MAE,0.8394187445807658
1,HLM,ECFP4,linear,0,RMSE,1.0778780674178003
2,HLM,ECFP4,linear,0,R2,-3.083949591272223
3,HLM,ECFP4,linear,1,MAE,0.9135638309389297
4,HLM,ECFP4,linear,1,RMSE,1.1455331563247582
5,HLM,ECFP4,linear,1,R2,-3.4714939991031164
6,HLM,ECFP4,linear,2,MAE,0.8791444006550028
7,HLM,ECFP4,linear,2,RMSE,1.1318758774709976
8,HLM,ECFP4,linear,2,R2,-3.53373206082646
9,HLM,ECFP4,linear,3,MAE,0.9772367685394725
10,HLM,ECFP4,linear,3,RMSE,1.2168268386485885
11,HLM,ECFP4,linear,3,R2,-3.7456431819336284
12,HLM,ECFP4,linear,4,MAE,0.9367292726791514
13,HLM,ECFP4,linear,4,RMSE,1.208727569023889
14,HLM,ECFP4,linear,4,R2,-3.9486264510018234
15,HLM,ECFP4,svm,0,MAE,0.4003573490245794
16,HLM,ECFP4,svm,0,RMSE,0.47841899102852153
17,HLM,ECFP4,svm,0,R2,0.1954409497159063
18,HLM,ECFP4,svm,1,MAE,0.382567366390485
19,HLM,ECFP4,svm,1,RMSE,0.46037459811744486
20,HLM,ECFP4,svm,1,R2,0.277795766523694
21,HLM,ECFP4,svm,2,MAE,0.38973223684228037
22,HLM,ECFP4,svm,2,RMSE,0.47984204840221495
23,HLM,ECFP4,svm,2,R2,0.1851928219715262
24,HLM,ECFP4,svm,3,MAE,0.39595351715978866
25,HLM,ECFP4,svm,3,RMSE,0.4862251322325441
26,HLM,ECFP4,svm,3,R2,0.24227375978492183
27,HLM,ECFP4,svm,4,MAE,0.3960341944421258
28,HLM,ECFP4,svm,4,RMSE,0.4807194486775151
29,HLM,ECFP4,svm,4,R2,0.21727140035706693
30,HLM,ECFP4,random-forest,0,MAE,0.41203674771430804
31,HLM,ECFP4,random-forest,0,RMSE,0.49508304520053675
32,HLM,ECFP4,random-forest,0,R2,0.1384168239490965
33,HLM,ECFP4,random-forest,1,MAE,0.4095430935634868
34,HLM,ECFP4,random-forest,1,RMSE,0.4855539543599451
35,HLM,ECFP4,random-forest,1,R2,0.19663609485651912
36,HLM,ECFP4,random-forest,2,MAE,0.4070767798026328
37,HLM,ECFP4,random-forest,2,RMSE,0.4925366304306985
38,HLM,ECFP4,random-forest,2,R2,0.14150986032455382
39,HLM,ECFP4,random-forest,3,MAE,0.4074432759678378
40,HLM,ECFP4,random-forest,3,RMSE,0.49876947220532947
41,HLM,ECFP4,random-forest,3,R2,0.20267157114330558
42,HLM,ECFP4,random-forest,4,MAE,0.41796162382257007
43,HLM,ECFP4,random-forest,4,RMSE,0.5086598545135852
44,HLM,ECFP4,random-forest,4,R2,0.12363960567489063
45,HLM,MolFormer,linear,0,MAE,0.5168710417638831
46,HLM,MolFormer,linear,0,RMSE,0.6479127372454038
47,HLM,MolFormer,linear,0,R2,-0.4756186597386134
48,HLM,MolFormer,linear,1,MAE,0.47397813198152167
49,HLM,MolFormer,linear,1,RMSE,0.6016031974068985
50,HLM,MolFormer,linear,1,R2,-0.23326837791966004
51,HLM,MolFormer,linear,2,MAE,0.5015022101745193
52,HLM,MolFormer,linear,2,RMSE,0.6265646019283383
53,HLM,MolFormer,linear,2,R2,-0.3892805403992181
54,HLM,MolFormer,linear,3,MAE,0.46976103380981243
55,HLM,MolFormer,linear,3,RMSE,0.5892032848497393
56,HLM,MolFormer,linear,3,R2,-0.11267374343132208
57,HLM,MolFormer,linear,4,MAE,0.47743488931918204
58,HLM,MolFormer,linear,4,RMSE,0.6040820175026849
59,HLM,MolFormer,linear,4,R2,-0.23600330519714396
60,HLM,MolFormer,svm,0,MAE,0.3700858109248676
61,HLM,MolFormer,svm,0,RMSE,0.4605755788755193
62,HLM,MolFormer,svm,0,R2,0.25433644667789845
63,HLM,MolFormer,svm,1,MAE,0.3650001443941207
64,HLM,MolFormer,svm,1,RMSE,0.45323748794662505
65,HLM,MolFormer,svm,1,R2,0.3000146157175938
66,HLM,MolFormer,svm,2,MAE,0.37541078998828714
67,HLM,MolFormer,svm,2,RMSE,0.4747442478758849
68,HLM,MolFormer,svm,2,R2,0.20241373901955229
69,HLM,MolFormer,svm,3,MAE,0.37707558402752683
70,HLM,MolFormer,svm,3,RMSE,0.46608846364965856
71,HLM,MolFormer,svm,3,R2,0.30373553897304073
72,HLM,MolFormer,svm,4,MAE,0.39041512875523304
73,HLM,MolFormer,svm,4,RMSE,0.4799241379923073
74,HLM,MolFormer,svm,4,R2,0.21985917779313346
75,HLM,MolFormer,random-forest,0,MAE,0.41136063079305807
76,HLM,MolFormer,random-forest,0,RMSE,0.493803256005196
77,HLM,MolFormer,random-forest,0,R2,0.14286545002243234
78,HLM,MolFormer,random-forest,1,MAE,0.4175008425306537
79,HLM,MolFormer,random-forest,1,RMSE,0.49982452821936335
80,HLM,MolFormer,random-forest,1,R2,0.14871995360217372
81,HLM,MolFormer,random-forest,2,MAE,0.40174922801836027
82,HLM,MolFormer,random-forest,2,RMSE,0.48725487929192457
83,HLM,MolFormer,random-forest,2,R2,0.15982329686642904
84,HLM,MolFormer,random-forest,3,MAE,0.4167431356097788
85,HLM,MolFormer,random-forest,3,RMSE,0.5098444196568406
86,HLM,MolFormer,random-forest,3,R2,0.16686983061038863
87,HLM,MolFormer,random-forest,4,MAE,0.41940929888102807
88,HLM,MolFormer,random-forest,4,RMSE,0.506094506071025
89,HLM,MolFormer,random-forest,4,R2,0.13245689527233595
90,HLM,PhysChem,linear,0,MAE,0.3814020325450546
91,HLM,PhysChem,linear,0,RMSE,0.4795664703970097
92,HLM,PhysChem,linear,0,R2,0.1915768804148681
93,HLM,PhysChem,linear,1,MAE,0.6930655953931297
94,HLM,PhysChem,linear,1,RMSE,6.2019998085396
95,HLM,PhysChem,linear,1,R2,-130.0692521260379
96,HLM,PhysChem,linear,2,MAE,0.4097378235659305
97,HLM,PhysChem,linear,2,RMSE,0.581242271008714
98,HLM,PhysChem,linear,2,R2,-0.19556343298036238
99,HLM,PhysChem,linear,3,MAE,0.4454162239226471
100,HLM,PhysChem,linear,3,RMSE,1.245596646311827
101,HLM,PhysChem,linear,3,R2,-3.9727013993643174
102,HLM,PhysChem,linear,4,MAE,4.475141801754745
103,HLM,PhysChem,linear,4,RMSE,84.29314123253273
104,HLM,PhysChem,linear,4,R2,-24065.464432558732
105,HLM,PhysChem,svm,0,MAE,0.3493871564994047
106,HLM,PhysChem,svm,0,RMSE,0.4436547536782256
107,HLM,PhysChem,svm,0,R2,0.3081190367500969
108,HLM,PhysChem,svm,1,MAE,0.37490104192416873
109,HLM,PhysChem,svm,1,RMSE,0.45664265760460054
110,HLM,PhysChem,svm,1,R2,0.289457135709028
111,HLM,PhysChem,svm,2,MAE,0.368551288531098
112,HLM,PhysChem,svm,2,RMSE,0.45450526646960343
113,HLM,PhysChem,svm,2,R2,0.26896851649049525
114,HLM,PhysChem,svm,3,MAE,0.36244954097661775
115,HLM,PhysChem,svm,3,RMSE,0.4543908889566246
116,HLM,PhysChem,svm,3,R2,0.3382457328567673
117,HLM,PhysChem,svm,4,MAE,0.3827624484990829
118,HLM,PhysChem,svm,4,RMSE,0.4721758982837454
119,HLM,PhysChem,svm,4,R2,0.24484613922606602
120,HLM,PhysChem,random-forest,0,MAE,0.37560896801310273
121,HLM,PhysChem,random-forest,0,RMSE,0.45567613758825587
122,HLM,PhysChem,random-forest,0,R2,0.27011628182252545
123,HLM,PhysChem,random-forest,1,MAE,0.3828905256558838
124,HLM,PhysChem,random-forest,1,RMSE,0.46325411316098913
125,HLM,PhysChem,random-forest,1,R2,0.26873313962513046
126,HLM,PhysChem,random-forest,2,MAE,0.3901704683523095
127,HLM,PhysChem,random-forest,2,RMSE,0.4756705761325806
128,HLM,PhysChem,random-forest,2,R2,0.19929817732926614
129,HLM,PhysChem,random-forest,3,MAE,0.37006157280113017
130,HLM,PhysChem,random-forest,3,RMSE,0.4658934158875552
131,HLM,PhysChem,random-forest,3,R2,0.30431815974089815
132,HLM,PhysChem,random-forest,4,MAE,0.3991957001963084
133,HLM,PhysChem,random-forest,4,RMSE,0.4798988386094087
134,HLM,PhysChem,random-forest,4,R2,0.219941426463661
135,HLM,MolBERT,linear,0,MAE,0.46427395414614164
136,HLM,MolBERT,linear,0,RMSE,0.5907532435951809
137,HLM,MolBERT,linear,0,R2,-0.22674227702282623
138,HLM,MolBERT,linear,1,MAE,0.42131544758984313
139,HLM,MolBERT,linear,1,RMSE,0.526897448069941
140,HLM,MolBERT,linear,1,R2,0.05400353247237022
141,HLM,MolBERT,linear,2,MAE,0.45668371697249177
142,HLM,MolBERT,linear,2,RMSE,0.57190545221823
143,HLM,MolBERT,linear,2,R2,-0.15746192913040913
144,HLM,MolBERT,linear,3,MAE,0.44786008284530765
145,HLM,MolBERT,linear,3,RMSE,0.5630553613636566
146,HLM,MolBERT,linear,3,R2,-0.01610764117980623
147,HLM,MolBERT,linear,4,MAE,0.4614178660111385
148,HLM,MolBERT,linear,4,RMSE,0.5953162682898546
149,HLM,MolBERT,linear,4,R2,-0.20039262396107205
150,HLM,MolBERT,svm,0,MAE,0.34086435436461077
151,HLM,MolBERT,svm,0,RMSE,0.42431465886238134
152,HLM,MolBERT,svm,0,R2,0.36712611657337413
153,HLM,MolBERT,svm,1,MAE,0.34585523254677497
154,HLM,MolBERT,svm,1,RMSE,0.4243213049452743
155,HLM,MolBERT,svm,1,R2,0.38648243596747445
156,HLM,MolBERT,svm,2,MAE,0.35215419863262026
