,objective,dataset,algorithm,da,train_size,fold,metric,value
0,mtr,Solubility,svm,No DA,0,0,MAE,0.4436112176050679
1,mtr,Solubility,svm,No DA,0,0,RMSE,0.6937602588244539
2,mtr,Solubility,svm,No DA,0,0,R2,-0.0286484825371415
3,mtr,Solubility,svm,No DA,30,0,MAE,0.4145180039140624
4,mtr,Solubility,svm,No DA,30,0,RMSE,0.5678226810292666
5,mtr,Solubility,svm,No DA,30,0,R2,0.3109136847992927
6,mtr,Solubility,svm,No DA,60,0,MAE,0.4187014109854551
7,mtr,Solubility,svm,No DA,60,0,RMSE,0.5638649201075616
8,mtr,Solubility,svm,No DA,60,0,R2,0.3204861603794033
9,mtr,Solubility,svm,No DA,100,0,MAE,0.4270621849688841
10,mtr,Solubility,svm,No DA,100,0,RMSE,0.5697266570298928
11,mtr,Solubility,svm,No DA,100,0,R2,0.3062847627724809
12,mtr,Solubility,svm,MLM,0,0,MAE,0.4484297078145068
13,mtr,Solubility,svm,MLM,0,0,RMSE,0.6799255885880888
14,mtr,Solubility,svm,MLM,0,0,R2,0.0119681944325015
15,mtr,Solubility,svm,CL,0,0,MAE,0.5093710106019043
16,mtr,Solubility,svm,CL,0,0,RMSE,0.6994891400154956
17,mtr,Solubility,svm,CL,0,0,R2,-0.0457072179565591
18,mtr,Solubility,svm,MTR,0,0,MAE,0.4807578143035008
19,mtr,Solubility,svm,MTR,0,0,RMSE,0.6733021408352632
20,mtr,Solubility,svm,MTR,0,0,R2,0.0311241206963075
21,mtr,Solubility,svm,No DA,0,1,MAE,0.405798106950049
22,mtr,Solubility,svm,No DA,0,1,RMSE,0.6644074389751421
23,mtr,Solubility,svm,No DA,0,1,R2,-0.0693710959890814
24,mtr,Solubility,svm,No DA,30,1,MAE,0.406408990650443
25,mtr,Solubility,svm,No DA,30,1,RMSE,0.5420090288767396
26,mtr,Solubility,svm,No DA,30,1,R2,0.2883400742224672
27,mtr,Solubility,svm,No DA,60,1,MAE,0.4043503483135511
28,mtr,Solubility,svm,No DA,60,1,RMSE,0.5383287649001663
29,mtr,Solubility,svm,No DA,60,1,R2,0.297971664702819
30,mtr,Solubility,svm,No DA,100,1,MAE,0.4022594829687523
31,mtr,Solubility,svm,No DA,100,1,RMSE,0.536725103952372
32,mtr,Solubility,svm,No DA,100,1,R2,0.3021480662557604
33,mtr,Solubility,svm,MLM,0,1,MAE,0.4089242701856496
34,mtr,Solubility,svm,MLM,0,1,RMSE,0.6544757258399021
35,mtr,Solubility,svm,MLM,0,1,R2,-0.0376396428987488
36,mtr,Solubility,svm,CL,0,1,MAE,0.4516293965630918
37,mtr,Solubility,svm,CL,0,1,RMSE,0.6365731609796713
38,mtr,Solubility,svm,CL,0,1,R2,0.0183512524176751
39,mtr,Solubility,svm,MTR,0,1,MAE,0.407068427527158
40,mtr,Solubility,svm,MTR,0,1,RMSE,0.5897618381556634
41,mtr,Solubility,svm,MTR,0,1,R2,0.1574167857187092
42,mtr,Solubility,svm,No DA,0,2,MAE,0.433047144012995
43,mtr,Solubility,svm,No DA,0,2,RMSE,0.7183957743550206
44,mtr,Solubility,svm,No DA,0,2,R2,-0.0531769558144124
45,mtr,Solubility,svm,No DA,30,2,MAE,0.3906428104810271
46,mtr,Solubility,svm,No DA,30,2,RMSE,0.5660573092095446
47,mtr,Solubility,svm,No DA,30,2,R2,0.3461251779649238
48,mtr,Solubility,svm,No DA,60,2,MAE,0.3850999496498213
49,mtr,Solubility,svm,No DA,60,2,RMSE,0.5539037593579453
50,mtr,Solubility,svm,No DA,60,2,R2,0.3739018289946165
51,mtr,Solubility,svm,No DA,100,2,MAE,0.3942203797107227
52,mtr,Solubility,svm,No DA,100,2,RMSE,0.5567625963274042
53,mtr,Solubility,svm,No DA,100,2,R2,0.3674222495998724
54,mtr,Solubility,svm,MLM,0,2,MAE,0.4386742966723092
55,mtr,Solubility,svm,MLM,0,2,RMSE,0.7033522371662524
56,mtr,Solubility,svm,MLM,0,2,R2,-0.0095307593574576
57,mtr,Solubility,svm,CL,0,2,MAE,0.4966400265112814
58,mtr,Solubility,svm,CL,0,2,RMSE,0.7076751400005848
59,mtr,Solubility,svm,CL,0,2,R2,-0.0219783335586487
60,mtr,Solubility,svm,MTR,0,2,MAE,0.4584467902816747
61,mtr,Solubility,svm,MTR,0,2,RMSE,0.6373345994384986
62,mtr,Solubility,svm,MTR,0,2,R2,0.1710872847888146
63,mtr,Solubility,svm,No DA,0,3,MAE,0.4669309314755437
64,mtr,Solubility,svm,No DA,0,3,RMSE,0.7440368648377097
65,mtr,Solubility,svm,No DA,0,3,R2,-0.0543159704097864
66,mtr,Solubility,svm,No DA,30,3,MAE,0.411871464991572
67,mtr,Solubility,svm,No DA,30,3,RMSE,0.5606524369969272
68,mtr,Solubility,svm,No DA,30,3,R2,0.4013550746071944
69,mtr,Solubility,svm,No DA,60,3,MAE,0.4127403238263195
70,mtr,Solubility,svm,No DA,60,3,RMSE,0.5522266422553456
71,mtr,Solubility,svm,No DA,60,3,R2,0.4192133999390859
