,objective,dataset,algorithm,da,train_size,fold,metric,value
0,mtr,Solubility,svm,No DA,0,0,MAE,0.4382576272237569
1,mtr,Solubility,svm,No DA,0,0,RMSE,0.7059060074072423
2,mtr,Solubility,svm,No DA,0,0,R2,-0.0289659392585825
3,mtr,Solubility,svm,No DA,30,0,MAE,0.4008131012598345
4,mtr,Solubility,svm,No DA,30,0,RMSE,0.5446530719748524
5,mtr,Solubility,svm,No DA,30,0,R2,0.38744208151012
6,mtr,Solubility,svm,No DA,60,0,MAE,0.4007079453836055
7,mtr,Solubility,svm,No DA,60,0,RMSE,0.5429752832779401
8,mtr,Solubility,svm,No DA,60,0,R2,0.3912102041485936
9,mtr,Solubility,svm,No DA,100,0,MAE,0.4035912437708499
10,mtr,Solubility,svm,No DA,100,0,RMSE,0.5465195258593577
11,mtr,Solubility,svm,No DA,100,0,R2,0.3832365783992834
12,mtr,Solubility,svm,MLM,0,0,MAE,0.4322015576456771
13,mtr,Solubility,svm,MLM,0,0,RMSE,0.6789945951078749
14,mtr,Solubility,svm,MLM,0,0,R2,0.0479935784665184
15,mtr,Solubility,svm,CL,0,0,MAE,0.4685220692076076
16,mtr,Solubility,svm,CL,0,0,RMSE,0.6561480634595307
17,mtr,Solubility,svm,CL,0,0,R2,0.1109811978056231
18,mtr,Solubility,svm,MTR,0,0,MAE,0.4174261728578778
19,mtr,Solubility,svm,MTR,0,0,RMSE,0.5891599967927114
20,mtr,Solubility,svm,MTR,0,0,R2,0.2832400250871697
21,mtr,Solubility,svm,No DA,0,1,MAE,0.3816895375446899
22,mtr,Solubility,svm,No DA,0,1,RMSE,0.6443426117952555
23,mtr,Solubility,svm,No DA,0,1,R2,-0.0260223043684575
24,mtr,Solubility,svm,No DA,30,1,MAE,0.3671031508653816
25,mtr,Solubility,svm,No DA,30,1,RMSE,0.5056593116142597
26,mtr,Solubility,svm,No DA,30,1,R2,0.368113446415669
27,mtr,Solubility,svm,No DA,60,1,MAE,0.3665152842167736
28,mtr,Solubility,svm,No DA,60,1,RMSE,0.4993112523978953
29,mtr,Solubility,svm,No DA,60,1,R2,0.3838792969931104
30,mtr,Solubility,svm,No DA,100,1,MAE,0.3734011904369371
31,mtr,Solubility,svm,No DA,100,1,RMSE,0.5035225560966553
32,mtr,Solubility,svm,No DA,100,1,R2,0.3734424666402209
33,mtr,Solubility,svm,MLM,0,1,MAE,0.3833135755730165
34,mtr,Solubility,svm,MLM,0,1,RMSE,0.6164147666894887
35,mtr,Solubility,svm,MLM,0,1,R2,0.0609922782197368
36,mtr,Solubility,svm,CL,0,1,MAE,0.4435193227124533
37,mtr,Solubility,svm,CL,0,1,RMSE,0.6488399704680022
38,mtr,Solubility,svm,CL,0,1,R2,-0.0403950740702208
39,mtr,Solubility,svm,MTR,0,1,MAE,0.4141602094475453
40,mtr,Solubility,svm,MTR,0,1,RMSE,0.5848447903017321
41,mtr,Solubility,svm,MTR,0,1,R2,0.154712694403214
42,mtr,Solubility,svm,No DA,0,2,MAE,0.4204787704726656
43,mtr,Solubility,svm,No DA,0,2,RMSE,0.6874311804001767
44,mtr,Solubility,svm,No DA,0,2,R2,-0.0425923236004905
45,mtr,Solubility,svm,No DA,30,2,MAE,0.4033741032833682
46,mtr,Solubility,svm,No DA,30,2,RMSE,0.5625757947379673
47,mtr,Solubility,svm,No DA,30,2,R2,0.3017384085692641
48,mtr,Solubility,svm,No DA,60,2,MAE,0.398686673145216
49,mtr,Solubility,svm,No DA,60,2,RMSE,0.5563851084391868
50,mtr,Solubility,svm,No DA,60,2,R2,0.3170214496008608
51,mtr,Solubility,svm,No DA,100,2,MAE,0.4037256526709901
52,mtr,Solubility,svm,No DA,100,2,RMSE,0.562446108555154
53,mtr,Solubility,svm,No DA,100,2,R2,0.3020603009926202
54,mtr,Solubility,svm,MLM,0,2,MAE,0.4346524843859388
55,mtr,Solubility,svm,MLM,0,2,RMSE,0.6861175261971761
56,mtr,Solubility,svm,MLM,0,2,R2,-0.0386114242893265
57,mtr,Solubility,svm,CL,0,2,MAE,0.4926384499094222
58,mtr,Solubility,svm,CL,0,2,RMSE,0.7063254730795412
59,mtr,Solubility,svm,CL,0,2,R2,-0.100691993008575
60,mtr,Solubility,svm,MTR,0,2,MAE,0.4432892579659469
61,mtr,Solubility,svm,MTR,0,2,RMSE,0.6278258081992927
