SMILES,Standard Value,dset,group,fold,fingerprint,molbert,molformer,physchem
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8,train,random,0,,,,
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11,train,random,0,,,,
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0,train,random,0,,,,
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,train,random,0,,,,
C#CCN(C)C(C)Cc1ccccc1,2.16,train,random,0,,,,
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8,train,random,0,,,,
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96,train,random,0,,,,
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,train,random,0,,,,
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4,train,random,0,,,,
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92,train,random,0,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,train,random,0,,,,
C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31,train,random,0,,,,
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4,train,random,0,,,,
C(=C/c1nn[nH]n1)\c1ccccc1,-0.4,train,random,0,,,,
C/N=C(\S)n1nc(-c2ccc(Cl)cc2)nc1N,4.12,train,random,0,,,,
C1=C(c2cc3ccccc3o2)C2CCN1CC2,2.59,train,random,0,,,,
C1=CCC(c2cc3ccccc3o2)CNC1,1.94,train,random,0,,,,
C1=CCC(c2ccc3ccccc3c2)CNC1,1.64,train,random,0,,,,
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02,train,random,0,,,,
C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,3.6,train,random,0,,,,
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,3.57,train,random,0,,,,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.02,train,random,0,,,,
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.98,train,random,0,,,,
C=CC(=O)Nc1ccc(C)cc1,2.25,train,random,0,,,,
C=CC(=O)Nc1ccc(OC)cc1,1.68,train,random,0,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.9,train,random,0,,,,
C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,2.08,train,random,0,,,,
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.48,train,random,0,,,,
C=CCCCCCCCCC(=O)N[C@H]1CCC(=O)NC1=O,2.64,train,random,0,,,,
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6,train,random,0,,,,
C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6,train,random,0,,,,
C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(Nc3ccc(Cl)c(Cl)c3)nc12,2.7,train,random,0,,,,
C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.07,train,random,0,,,,
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.0,train,random,0,,,,
C=CCOc1ccccc1OCC(O)CNC(C)C,0.2,train,random,0,,,,
C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,-0.01,train,random,0,,,,
C=CCc1ccccc1OCC(O)CNC(C)C,0.99,train,random,0,,,,
C=CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.62,train,random,0,,,,
C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.92,train,random,0,,,,
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.21,train,random,0,,,,
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.21,train,random,0,,,,
