SMILES,Standard Value,dset,group,fold,fingerprint,molbert,molformer,physchem
C#CCN(C)[C@H](C)Cc1ccccc1,1.8627870982353445,train,random,0,,,,
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.707004364186781,train,random,0,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.9814561665221264,train,random,0,,,,
C/C=C/c1ccc(Oc2nnnn2-c2ccc(C(N)=O)cc2)c(OC)c1,1.9846023951000904,train,random,0,,,,
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1.9931716050307648,train,random,0,,,,
C1Cc2[nH]nc(-c3nn[nH]n3)c2C1,1.9067609041537903,train,random,0,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.984842231405276,train,random,0,,,,
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,1.9912260756924949,train,random,0,,,,
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,1.9242792860618816,train,random,0,,,,
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1,1.999739345106568,train,random,0,,,,
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.895918862739471,train,random,0,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.9993480692067207,train,random,0,,,,
CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,1.9934181010320025,train,random,0,,,,
CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,1.976501442482568,train,random,0,,,,
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,1.970769042250545,train,random,0,,,,
CC#Cc1cncc(-c2cccc(C3(c4cc(C)c(OC)c(C)c4)N=C(C)C(N)=N3)c2)c1,1.998258462842342,train,random,0,,,,
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,1.9955871537596817,train,random,0,,,,
CC#Cc1cncc(-c2csc([C@]3(C)CC(=O)N(C)C(=N)N3)c2)c1,1.9321562708734228,train,random,0,,,,
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,1.9913920552798217,train,random,0,,,,
CC(=O)N(C)c1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,1.988960070390338,train,random,0,,,,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1.9876662649262744,train,random,0,,,,
