SMILES,Standard Value,dset,group,fold,fingerprint,molbert,molformer,physchem
C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)c(F)c1,2.0,train,random,0,,,,
C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)cc1,2.0,train,random,0,,,,
C#CCN(Cc1ccc2nc(CO)nc(O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,2.6020599913279625,train,random,0,,,,
C#CCN(Cc1ccc2nc(CSc3nccc(O)n3)nc(O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,2.3010299956639813,train,random,0,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.6232492903979,train,random,0,,,,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,2.903089986991944,train,random,0,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.0,train,random,0,,,,
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.729974285699556,train,random,0,,,,
C=CCN(C(=O)NCc1cccc(C)c1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.959041392321093,train,random,0,,,,
C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.459392487759231,train,random,0,,,,
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.6720978579357175,train,random,0,,,,
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,6.159988050381987,train,random,0,,,,
CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.903089986991944,train,random,0,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,3.278753600952829,train,random,0,,,,
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.9599948383284165,train,random,0,,,,
CC(=O)N1CCC(NC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)CC1,5.810030786405839,train,random,0,,,,
CC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,3.230448921378274,train,random,0,,,,
CC(=O)N1CCN(CC(O)CN2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,5.330007700872759,train,random,0,,,,
CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(F)ccc5c4OCO5)ncnc3c2)CC1,4.439332693830263,train,random,0,,,,
CC(=O)N1CCN(c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cc2)CC1,3.792391689498254,train,random,0,,,,
CC(=O)N1CCN(c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)CC1,5.169968173996892,train,random,0,,,,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.792391689498254,train,random,0,,,,
CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,5.07990446766672,train,random,0,,,,
CC(=O)N[C@@H]1CCN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,3.939519252618618,train,random,0,,,,
CC(=O)Nc1cc(CN2C(=O)N(c3ccc(SC(F)(F)F)cc3)C(=O)C2(C)C)ccn1,4.12057393120585,train,random,0,,,,
CC(=O)Nc1ccc(-c2ccccc2)cc1,4.899820502427096,train,random,0,,,,
CC(=O)Nc1ccc(Br)cc1,5.920018916028915,train,random,0,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,3.633468455579586,train,random,0,,,,
CC(=O)Nc1ccc2nc(-c3cccc(F)c3)cc(O)c2c1,4.389166084364533,train,random,0,,,,
CC(=O)Nc1nc(-c2ccccc2)ns1,5.260071387985075,train,random,0,,,,
CC(=O)Nc1nc(-c2cccs2)cs1,5.0,train,random,0,,,,
CC(=O)Nc1nc2c(s1)C(=O)NCCC2,6.130011949671904,train,random,0,,,,
CC(=O)OCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,3.6020599913279625,train,random,0,,,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.570542939881897,train,random,0,,,,
CC(=O)c1ccc2[nH]c(-c3cccnc3)cc(=O)c2c1,5.100025730107863,train,random,0,,,,
CC(=O)c1noc(C)c1C(=O)Nc1nccs1,4.670245853074124,train,random,0,,,,
CC(C(=O)N1CCc2ccccc2C1)N1C(=O)c2ccccc2C1=O,5.109915863023793,train,random,0,,,,
