,Molecule ChEMBL ID,Smiles,Standard Value
2,CHEMBL1917435,CNC(=O)c1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,-0.89
3,CHEMBL1535688,Cc1ccc(OCC(=O)O)c(-n2nc3ccccc3n2)c1,-0.84
4,CHEMBL2326864,CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,-0.82
5,CHEMBL1201212,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-0.71
6,CHEMBL2088121,COc1c(N2CCO[C@@H](CN(C)C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-0.62
7,CHEMBL435859,OB1c2ccccc2N=C(S)N1c1cccnc1,-0.62
8,CHEMBL1917459,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,-0.29
9,CHEMBL1604571,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,-0.2
10,CHEMBL2023265,O=C(O)CSCC(=O)Nc1nc(-c2ccc(F)cc2)cs1,-0.2
11,CHEMBL1374738,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,-0.12
12,CHEMBL2147475,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OC[C@H](OP(=O)(O)O)C1CC1,-0.04
13,CHEMBL1778628,N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,0.05
19,CHEMBL1081627,N#Cc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,4.1
20,CHEMBL162203,Cc1cccc(-c2nc3cc(Cl)ccc3[nH]2)n1,4.1
22,CHEMBL1199945,COCC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,3.4
23,CHEMBL2336326,C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3cccc(C(=O)NCCO)c3)nc2n1,2.49
27,CHEMBL1946017,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2cccnc2)cc1,3.65
28,CHEMBL477785,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(S(=O)(=O)CCN(C)C)CC4)cc3)n2)n1C(C)C,2.52
30,CHEMBL551765,O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,2.53
39,CHEMBL2325695,COc1cc(-c2nc(N3CCOCC3)cc(C3(S(C)(=O)=O)CC3)n2)c2cc[nH]c2c1,2.4
40,CHEMBL1824373,N#Cc1cccc(COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc2cccc(O)c2)c1,2.41
41,CHEMBL394859,O=C([C@@H]1CCCN1)N1CCN(c2nc(NCc3ccc(Cl)cc3Cl)c3cccnc3n2)CC1,2.41
42,CHEMBL457888,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN4CCOCC4)cc3)n2)n1C(C)C,2.43
43,CHEMBL250540,COc1ccc2nc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)ccc2c1,2.43
44,CHEMBL250516,COc1ccc2c(C)cc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)nc2c1,2.46
49,CHEMBL338579,COc1ccccc1C(=O)NCC12CC3CC(CC(C3)C1)C2,4.43
70,CHEMBL398894,NS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,2.6
71,CHEMBL2325713,CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3ccccc3)n2)CC1,2.6
96,CHEMBL233447,O=C(NC1Cc2ccccc2N(CCO)C1=O)c1cc2cc(Cl)sc2[nH]1,3.05
97,CHEMBL218006,C[C@H](NC1=NC(=O)[C@@](C)(C(F)(F)F)S1)c1ccccc1F,3.1
98,CHEMBL507803,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1cccnc1,3.11
