,Molecule ChEMBL ID,Smiles,Standard Value
45,CHEMBL198701,COc1ccc(Cl)c(Nc2ncnc3cc(OCCN4CCN(C(C)=O)CC4)cc(OC(C)C)c23)n1,4.630427875025024
46,CHEMBL199147,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,4.8401060944567575
47,CHEMBL2164689,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ccc(C(F)(F)F)cc4c3C2)CC1,4.869818207979328
78,CHEMBL65877,CN(C)C(=N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,6.120014252078067
90,CHEMBL257176,N#Cc1cccnc1-c1ccc(C(=O)Nc2ccccc2N)cc1,4.550228353055094
91,CHEMBL570081,N=C(N)c1ccc2cc(C(=O)Nc3ccc4c(c3)OCO4)ccc2c1,4.650307523131937
92,CHEMBL2158466,CCCSc1nc(NC)ccc1C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2,4.670245853074124
93,CHEMBL398894,NS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,4.710117365111817
94,CHEMBL334492,O=c1[nH][nH]c(=O)c2c1[nH]c1cc(Cl)cc(Cl)c12,4.7596678446896306
95,CHEMBL515854,COCCS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,4.790285164033242
150,CHEMBL145128,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](Sc1ccccc1)C(=O)NO)C(C)(C)C,4.920123326290724
159,CHEMBL119426,CC(C)(C)Cn1c2ccccc2c2cc(NC(=O)N3CCOCC3)ccc21,2.0
229,CHEMBL1497967,CN(C(=O)c1ccco1)c1nnc(C23CC4CC(CC(C4)C2)C3)s1,3.4771212547196626
230,CHEMBL1374655,COc1ccc(-c2nnc(-c3ccccc3)o2)cc1,3.6127838567197355
231,CHEMBL1079175,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,3.6720978579357175
253,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,6.090011024007147
264,CHEMBL1977402,Cc1cc(S(=O)(=O)Nc2nc(Nc3ccc(Cl)cc3)n[nH]2)c(S)cc1Cl,4.940018155007663
265,CHEMBL2036745,O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cc2)CC1,5.089905111439398
266,CHEMBL2042442,O=c1cc(-c2ccco2)[nH]c2ccccc12,5.059941888061955
267,CHEMBL473967,CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,5.0700378666077555
321,CHEMBL1369237,O=C(NNc1nc2ccccc2o1)c1ccccc1,5.109915863023793
322,CHEMBL2140607,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCCNC3)c21,5.130011949671904
323,CHEMBL1940111,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OCCN5CCCCC5)cc34)cn2)c1,5.150142161848558
334,CHEMBL2031236,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,5.660011221289331
393,CHEMBL1321598,Nc1nnc(-c2ccccc2F)s1,5.49996186559619
