,smiles,Standard Value
0,Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8
1,Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11
2,C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0
3,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59
4,C#CCN(C)C(C)Cc1ccccc1,2.16
5,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8
6,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2
7,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75
8,C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96
9,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16
10,C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4
11,C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92
12,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35
13,C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31
14,C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4
15,C(=C/c1nn[nH]n1)\c1ccccc1,-0.4
16,C/N=C(\S)n1nc(-c2ccc(Cl)cc2)nc1N,4.12
17,C1=C(c2cc3ccccc3o2)C2CCN1CC2,2.59
18,C1=CCC(c2cc3ccccc3o2)CNC1,1.94
19,C1=CCC(c2ccc3ccccc3c2)CNC1,1.64
20,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02
21,C1CCC(NC2CCCCC2)CC1,-0.38
22,C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,3.6
23,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,3.57
24,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.02
25,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.98
26,C=CC(=O)Nc1ccc(C)cc1,2.25
27,C=CC(=O)Nc1ccc(OC)cc1,1.68
28,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,3.7
29,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,2.04
30,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.9
31,C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,2.08
32,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.48
33,C=CCCCCCCCCC(=O)N[C@H]1CCC(=O)NC1=O,2.64
34,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.1
35,C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6
36,C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6
37,C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(Nc3ccc(Cl)c(Cl)c3)nc12,2.7
38,C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.07
39,C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.0
40,C=CCOc1ccccc1OCC(O)CNC(C)C,0.2
41,C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,-0.01
42,C=CCc1ccccc1OCC(O)CNC(C)C,0.99
43,C=CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,4.27
44,C=CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.62
45,C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.92
46,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.21
47,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.21
48,CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.61
49,CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,3.6
