SMILES,ppb_r,dset,group,fold,adme_ppb_r_cbert_mlm-bert-100,adme_ppb_r_cbert_mlm-bert-30,adme_ppb_r_cbert_mlm-bert-60,adme_ppb_r_cbert_none-bert-0,adme_ppb_r_mlm_mlm-bert-100,adme_ppb_r_mlm_mlm-bert-30,adme_ppb_r_mlm_mlm-bert-60,adme_ppb_r_mlm_none-bert-0,adme_ppb_r_mtr_mlm-bert-100,adme_ppb_r_mtr_mlm-bert-30,adme_ppb_r_mtr_mlm-bert-60,adme_ppb_r_mtr_mtr-bert-30,adme_ppb_r_mtr_none-bert-0,adme_ppb_r_sbert_mlm-bert-100,adme_ppb_r_sbert_mlm-bert-30,adme_ppb_r_sbert_mlm-bert-60,adme_ppb_r_sbert_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,0.51851394,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,0.268343914,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CN(c1ncc(F)cn1)[C@H]1CCCNC1,2.0,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,-1.403402904,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,-0.639532816,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)NCC(O)COc1cccc2ccccc12,1.347759218,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-0.943095149,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-0.35853,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,-0.504455662,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,1.626076768,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,-0.055517328,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1.615139594,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,1.072507236,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,1.388207807,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,0.631443769,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,1.74597993,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,0.901294817,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,0.326540669,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,1.615287063,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,-0.295849483,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1.244598701,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,-0.308918508,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.669595781,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,0.231979027,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,0.123198075,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,-0.139063379,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
