SMILES,Standard Value,dset,group,fold,astrazeneca_CL_cbert_mlm-bert-100,astrazeneca_CL_cbert_mlm-bert-30,astrazeneca_CL_cbert_mlm-bert-60,astrazeneca_CL_cbert_none-bert-0,astrazeneca_CL_mlm_mlm-bert-100,astrazeneca_CL_mlm_mlm-bert-30,astrazeneca_CL_mlm_mlm-bert-60,astrazeneca_CL_mlm_none-bert-0,astrazeneca_CL_mtr_mlm-bert-100,astrazeneca_CL_mtr_mlm-bert-30,astrazeneca_CL_mtr_mlm-bert-60,astrazeneca_CL_mtr_mtr-bert-100,astrazeneca_CL_mtr_mtr-bert-30,astrazeneca_CL_mtr_mtr-bert-60,astrazeneca_CL_mtr_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.043230816114475,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,0.9451378353582436,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C(#Cc1n[nH]c2ccccc12)c1ccccc1,1.5440680443502757,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1nn[nH]n1)\c1ccccc1,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1ccc(C)cc1,1.635012927940211,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1ccc(F)cc1,1.0285666836245433,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1ccc(OC)cc1,1.3301078182350805,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,1.6830713384074438,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,1.7700051662958804,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1ccccc1,1.499983496182535,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1.0,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CCc1ccccc1OCC(O)CNC(C)C,1.648003334656836,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.325131802837631,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,1.190051417759206,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.6638510734211902,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.5986402790628096,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0.5403294747908738,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,1.9500239065233265,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
