SMILES,Standard Value,dset,group,fold,astrazeneca_PPB_cbert_mlm-bert-100,astrazeneca_PPB_cbert_mlm-bert-30,astrazeneca_PPB_cbert_mlm-bert-60,astrazeneca_PPB_cbert_none-bert-0,astrazeneca_PPB_mlm_mlm-bert-100,astrazeneca_PPB_mlm_mlm-bert-30,astrazeneca_PPB_mlm_mlm-bert-60,astrazeneca_PPB_mlm_none-bert-0,astrazeneca_PPB_mtr_mlm-bert-100,astrazeneca_PPB_mtr_mlm-bert-30,astrazeneca_PPB_mtr_mlm-bert-60,astrazeneca_PPB_mtr_mtr-bert-100,astrazeneca_PPB_mtr_mtr-bert-30,astrazeneca_PPB_mtr_mtr-bert-60,astrazeneca_PPB_mtr_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
C#CCN(C)[C@H](C)Cc1ccccc1,1.8627870982353445,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.707004364186781,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.9814561665221264,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C/C=C/c1ccc(Oc2nnnn2-c2ccc(C(N)=O)cc2)c(OC)c1,1.9846023951000904,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.984842231405276,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,1.9242792860618816,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.9993480692067207,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,1.9934181010320025,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,1.976501442482568,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,1.970769042250545,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,1.9913920552798217,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.9916247345340048,train,random,0,,,,,,,,,,,,,,,,,,,,,,
