SMILES,Standard Value,dset,group,fold,astrazeneca_Solubility_cbert_mlm-bert-100,astrazeneca_Solubility_cbert_mlm-bert-30,astrazeneca_Solubility_cbert_mlm-bert-60,astrazeneca_Solubility_cbert_none-bert-0,astrazeneca_Solubility_mlm_mlm-bert-100,astrazeneca_Solubility_mlm_mlm-bert-30,astrazeneca_Solubility_mlm_mlm-bert-60,astrazeneca_Solubility_mlm_none-bert-0,astrazeneca_Solubility_mtr_mlm-bert-100,astrazeneca_Solubility_mtr_mlm-bert-30,astrazeneca_Solubility_mtr_mlm-bert-60,astrazeneca_Solubility_mtr_mtr-bert-100,astrazeneca_Solubility_mtr_mtr-bert-30,astrazeneca_Solubility_mtr_mtr-bert-60,astrazeneca_Solubility_mtr_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2cccc(C#N)c2)cc1,2.3010299956639813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#CCN(Cc1ccc2nc(CO)nc(O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,2.6020599913279625,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#CCN(Cc1ccc2nc(CSc3nccc(O)n3)nc(O)c2c1)c1ccc(C(=O)NCc2cccc([N+](=O)[O-])c2)cc1,2.3010299956639813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.6232492903979,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,2.903089986991944,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,4.220108088040055,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.0,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3.6720978579357175,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.903089986991944,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,3.278753600952829,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.9599948383284165,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N(C1=C(NCCO)C(=O)c2ccccc2C1=O)c1cccc(Br)c1,4.068185861746161,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCC(NC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)CC1,5.810030786405839,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5o4)c3)cn2)CC1,3.230448921378274,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CC(O)CN2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,5.330007700872759,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CCOc2cc(OC(C)C)c3c(Nc4c(F)ccc5c4OCO5)ncnc3c2)CC1,4.439332693830263,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,5.229937685907934,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,3.7323937598229686,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cc2)CC1,3.792391689498254,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)CC1,5.169968173996892,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.792391689498254,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC1CCN(C(=O)CN2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)C1,5.030194785356751,train,random,0,,,,,,,,,,,,,,,,,,,,,,
