SMILES,HPPB,dset,group,fold,astrazeneca_log_HPPB_cbert_mlm-bert-100,astrazeneca_log_HPPB_cbert_mlm-bert-30,astrazeneca_log_HPPB_cbert_mlm-bert-60,astrazeneca_log_HPPB_cbert_none-bert-0,astrazeneca_log_HPPB_mlm_mlm-bert-100,astrazeneca_log_HPPB_mlm_mlm-bert-30,astrazeneca_log_HPPB_mlm_mlm-bert-60,astrazeneca_log_HPPB_mlm_none-bert-0,astrazeneca_log_HPPB_mtr_mlm-bert-100,astrazeneca_log_HPPB_mtr_mlm-bert-30,astrazeneca_log_HPPB_mtr_mlm-bert-60,astrazeneca_log_HPPB_mtr_mtr-bert-100,astrazeneca_log_HPPB_mtr_mtr-bert-30,astrazeneca_log_HPPB_mtr_mtr-bert-60,astrazeneca_log_HPPB_mtr_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
C#CCN(C)[C@H](C)Cc1ccccc1,1.8627870982353445,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.7460890430562002,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1.9814561665221264,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1.9931716050307648,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C1Cc2[nH]nc(-c3nn[nH]n3)c2C1,1.953807997665307,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.984842231405276,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,1.9912260756924949,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,1.9242792860618816,train,random,0,,,,,,,,,,,,,,,,,,,,,,
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.931864513492032,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.9993480692067207,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,1.9973863843973128,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,1.963740618857884,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,1.9777693180915743,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2cccc(C3(c4cc(C)c(OC)c(C)c4)N=C(C)C(N)=N3)c2)c1,1.999130541287371,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,1.99528410768926,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC#Cc1cncc(-c2csc([C@]3(C)CC(=O)N(C)C(=N)N3)c2)c1,1.9450252012424627,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,1.9969929818907053,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.9916247345340048,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N(C)c1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,1.988960070390338,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1.9876662649262744,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2nc(NC(C)(C)Cc3ccc(Cl)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,1.9858304898583925,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.9943171526696368,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,1.3577443251803756,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCc1cccc(C(=O)O)c1,1.9192873405043829,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N[C@@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.9934803190699968,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)c(C)cc3n2)cc1,1.9916247345340048,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.9892272737305368,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cc2c(ccn2-c2cc(NC3CC3)n3ncc(C#N)c3n2)cc1C,1.9908270505674788,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1.9696022648485392,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,1.953807997665307,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1.9973863843973128,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(O)cc1,1.4255342204982635,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2c(c1)N(c1cc(NC3CC3)n3ncc(C#N)c3n1)CCC2,1.988469770209876,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2C,1.9940530635876752,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,1.994800899294604,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2ccn(-c3cc(NC4COC4)n4ncc(C#N)c4n3)c2c1,1.9426032488421563,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2ccn(-c3cc(NCCCN(C)C)n4ncc(C#N)c4n3)c2c1,1.953807997665307,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2ccn(-c3cc(NCCN4CCCC4)n4ncc(C#N)c4n3)c2c1,1.9751559784066888,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2ccn(-c3cc(NCCN4CCOCC4)n4ncc(C#N)c4n3)c2c1,1.948510768837657,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2cnn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,1.9916247345340048,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1.9958544798745657,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(Nc2nc(NC3CC3)n3ncc(C#N)c3n2)c1,1.950705534773861,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,1.994800899294604,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(OCc2cnc(Cl)s2)c1,1.9387698227831167,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,1.9426032488421563,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,1.9810026899414,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cnc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,1.988960070390338,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,1.7279477095447968,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,1.9995654882259823,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)C2CC[C@@]3(C)C(CC[C@@]34CCC(=O)O4)C21,1.880642126404285,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.9978667262391447,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1.887673552454448,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cc2ccc(O)cc2oc1=O,1.9934803190699968,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,1.9450252012424627,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,1.9892272737305368,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ncccc1NC(=O)[C@H]1CC[C@H](N2C(=O)[C@@H]3[C@@H]4CC[C@@H](C4)[C@@H]3C2=O)CC1,1.9943171526696368,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,1.9989564404704865,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.994449137014036,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)O[C@@H]1CC[N+](C)(C)C1)(c1ccccc1)C1CCCC1,1.887673552454448,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.7989267385772014,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C(=O)c1cccnc1)c1cccnc1,1.0484418035504044,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,1.9973863843973128,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,1.990161192898479,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)CN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1.8457180179666584,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,1.957703041548832,train,random,0,,,,,,,,,,,,,,,,,,,,,,
